Reachability from c-1-h1 to 192.168.101.40: 3 packets transmitted, 3 received, 0% packet loss, time 2042ms
Reachability from c-1-h1 to 192.168.10.40: 3 packets transmitted, 3 received, 0% packet loss, time 2029ms
Reachability from c-1-h1 to fc00:192:168:101:f4c4:38ff:fe6a:bd65: 3 packets transmitted, 3 received, 0% packet loss, time 2036ms
Reachability from c-1-h1 to fc00:192:168:10:343c:fff:fecc:12f: 3 packets transmitted, 3 received, 0% packet loss, time 2030ms
Reachability from c-1-h1 to fc00:192:168:10::40: 3 packets transmitted, 3 received, 0% packet loss, time 2031ms
Reachability from c-1-h1 to 192.168.101.41: 3 packets transmitted, 3 received, 0% packet loss, time 2033ms
Reachability from c-1-h1 to 192.168.10.41: 3 packets transmitted, 3 received, 0% packet loss, time 2001ms
Reachability from c-1-h1 to fc00:192:168:101:2096:7ff:fef5:6ed: 3 packets transmitted, 3 received, 0% packet loss, time 2038ms
Reachability from c-1-h1 to fc00:192:168:10:801f:6eff:feaa:14e9: 3 packets transmitted, 3 received, 0% packet loss, time 2002ms
Reachability from c-1-h1 to fc00:192:168:10::41: 3 packets transmitted, 3 received, 0% packet loss, time 2003ms
Reachability from c-1-h1 to 192.168.20.42: 3 packets transmitted, 3 received, 0% packet loss, time 2003ms
Reachability from c-1-h1 to 192.168.101.42: 3 packets transmitted, 3 received, 0% packet loss, time 2050ms
Reachability from c-1-h1 to fc00:192:168:20:806b:5aff:fe80:56d0: 3 packets transmitted, 3 received, 0% packet loss, time 2003ms
Reachability from c-1-h1 to fc00:192:168:20::42: 3 packets transmitted, 3 received, 0% packet loss, time 2002ms
Reachability from c-1-h1 to fc00:192:168:101:3406:8cff:fe68:4d09: 3 packets transmitted, 3 received, 0% packet loss, time 2039ms
Reachability from c-1-h1 to 192.168.101.43: 3 packets transmitted, 3 received, 0% packet loss, time 2043ms
Reachability from c-1-h1 to 192.168.30.43: 3 packets transmitted, 3 received, 0% packet loss, time 2003ms
Reachability from c-1-h1 to fc00:192:168:101:a4c6:d4ff:fe52:29d4: 3 packets transmitted, 3 received, 0% packet loss, time 2002ms
Reachability from c-1-h1 to fc00:192:168:30::43: 3 packets transmitted, 3 received, 0% packet loss, time 2002ms
Reachability from c-1-h1 to 192.168.101.44: 3 packets transmitted, 3 received, 0% packet loss, time 2037ms
Reachability from c-1-h1 to 192.168.10.44: 3 packets transmitted, 3 received, 0% packet loss, time 2003ms
Reachability from c-1-h1 to fc00:192:168:101:d4df:1ff:fe18:76da: 3 packets transmitted, 3 received, 0% packet loss, time 2009ms
Reachability from c-1-h1 to fc00:192:168:10:d491:9eff:fedc:672c: 3 packets transmitted, 3 received, 0% packet loss, time 2002ms
Reachability from c-1-h1 to fc00:192:168:10::44: 3 packets transmitted, 3 received, 0% packet loss, time 2005ms
Reachability from c-1-h1 to 192.168.20.45: 3 packets transmitted, 3 received, 0% packet loss, time 2002ms
Reachability from c-1-h1 to 192.168.101.45: 3 packets transmitted, 3 received, 0% packet loss, time 2045ms
Reachability from c-1-h1 to fc00:192:168:20:7478:c7ff:fec5:2756: 3 packets transmitted, 3 received, 0% packet loss, time 2002ms
Reachability from c-1-h1 to fc00:192:168:20::45: 3 packets transmitted, 3 received, 0% packet loss, time 2002ms
Reachability from c-1-h1 to fc00:192:168:101:863:10ff:fee0:2b51: 3 packets transmitted, 3 received, 0% packet loss, time 2026ms
